Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage 2447  Beacon etx 4606 
 Beacon Parent -> 30    Beacon Voltage 2379  Beacon etx 4646 
 Beacon Parent -> 30    Beacon Voltage 2396  Beacon etx 4646 
 Beacon Parent -> 30    Beacon Voltage 2371  Beacon etx 4706 
 Beacon Parent -> 30    Beacon Voltage 2411  Beacon etx 4706 
 Beacon Parent -> 30    Beacon Voltage 2377  Beacon etx 4706 
 Beacon Parent -> 30    Beacon Voltage 2399  Beacon etx 4706 
 Beacon Parent -> 30    Beacon Voltage 2405  Beacon etx 4706 
 Beacon Parent -> 30    Beacon Voltage 2420  Beacon etx 4886 
 Beacon Parent -> 30    Beacon Voltage 2417  Beacon etx 4886 
 Beacon Parent -> 30    Beacon Voltage 2374  Beacon etx 4886 
 Beacon Parent -> 30    Beacon Voltage 2403  Beacon etx 5006 
 Beacon Parent -> 30    Beacon Voltage 2390  Beacon etx 5006 
 Beacon Parent -> 30    Beacon Voltage 2400  Beacon etx 5006 
 Beacon Parent -> 30    Beacon Voltage 2377  Beacon etx 5006 
 Beacon Parent -> 30    Beacon Voltage 2389  Beacon etx 5006 
 Beacon Parent -> 30    Beacon Voltage 2385  Beacon etx 5076 
 Beacon Parent -> 30    Beacon Voltage 2385  Beacon etx 4667 
 Beacon Parent -> 30    Beacon Voltage 2410  Beacon etx 4667 
 Beacon Parent -> 30    Beacon Voltage 2395  Beacon etx 4667 
 Beacon Parent -> 30    Beacon Voltage 2393  Beacon etx 4667 
 Beacon Parent -> 30    Beacon Voltage 2413  Beacon etx 4667 
 Beacon Parent -> 30    Beacon Voltage 2385  Beacon etx 4397 
 Beacon Parent -> 30    Beacon Voltage 2416  Beacon etx 4397 
 Beacon Parent -> 30    Beacon Voltage 2377  Beacon etx 4397 
 Beacon Parent -> 30    Beacon Voltage 2388  Beacon etx 4397 
 Beacon Parent -> 10    Beacon Voltage -1681  Beacon etx 4373 
 Beacon Parent -> 30    Beacon Voltage 2426  Beacon etx 4383 
 Beacon Parent -> 30    Beacon Voltage 2438  Beacon etx 4383 
 Beacon Parent -> 30    Beacon Voltage 2424  Beacon etx 4383 
 Beacon Parent -> 30    Beacon Voltage 2405  Beacon etx 4337 
 Beacon Parent -> 30    Beacon Voltage 2398  Beacon etx 4337 
 Beacon Parent -> 30    Beacon Voltage 2392  Beacon etx 4337 
 Beacon Parent -> 30    Beacon Voltage 2391  Beacon etx 4266 
 Beacon Parent -> 30    Beacon Voltage 2414  Beacon etx 4266 
 Beacon Parent -> 30    Beacon Voltage 2423  Beacon etx 4266 
 Beacon Parent -> 30    Beacon Voltage 2379  Beacon etx 4266 
 Beacon Parent -> 30    Beacon Voltage 2390  Beacon etx 4266 
